Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Park Facility Name,Park Borough,School Name,School Number,School Region,School Code,School Phone Number,School Address,School City,School State,School Zip,School Not Found,School or Citywide Complaint,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Garage Lot Name,Ferry Direction,Ferry Terminal Name,Latitude,Longitude,Location
33648024,06/20/2016 10:04:21 PM,06/20/2016 11:12:32 PM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11231,70 BUSH STREET,BUSH STREET,COLUMBIA STREET,HICKS STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,06/21/2016 06:04:21 AM,The Police Department responded to the complaint and took action to fix the condition.,06/20/2016 11:12:32 PM,06 BROOKLYN,BROOKLYN,982407,185200,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.67500778066339,-74.00664420030702,"(40.67500778066339, -74.00664420030702)"
33654645,06/21/2016 02:14:50 PM,06/21/2016 03:07:37 PM,NYPD,New York City Police Department,Noise - Commercial,Banging/Pounding,Store/Commercial,11231,175 DIKEMAN STREET,DIKEMAN STREET,CONOVER STREET,FERRIS STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,06/21/2016 10:14:50 PM,The Police Department responded to the complaint and determined that police action was not necessary.,06/21/2016 03:07:37 PM,06 BROOKLYN,BROOKLYN,979892,186383,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.67825396779016,-74.0157117930007,"(40.67825396779016, -74.0157117930007)"
33655882,06/21/2016 01:39:00 PM,06/29/2016 04:15:00 PM,DEP,Department of Environmental Protection,Noise,Noise: Alarms (NR3),,11231,39 COFFEY STREET,COFFEY STREET,DWIGHT ST,RICHARDS ST,,,ADDRESS,BROOKLYN,,N/A,Closed,,"The Department of Environmental Protection did not observe a violation of the New York City Air/Noise Code at the time of inspection and could not issue a notice of violation. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",06/29/2016 04:15:00 PM,06 BROOKLYN,BROOKLYN,980997,185046,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.674584679489016,-74.0117273177029,"(40.674584679489016, -74.0117273177029)"
33663657,06/22/2016 08:10:56 AM,06/22/2016 09:04:06 AM,NYPD,New York City Police Department,Noise - Commercial,Banging/Pounding,Club/Bar/Restaurant,11231,SMITH STREET,SMITH STREET,SACKETT STREET,UNION STREET,,,BLOCKFACE,BROOKLYN,,Precinct,Closed,06/22/2016 04:10:56 PM,The Police Department responded to the complaint and determined that police action was not necessary.,06/22/2016 09:04:06 AM,06 BROOKLYN,BROOKLYN,985998,187731,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.68195482217686,-73.99369762776111,"(40.68195482217686, -73.99369762776111)"
33668352,06/23/2016 10:40:46 AM,06/23/2016 12:07:33 PM,NYPD,New York City Police Department,Noise - Commercial,Car/Truck Horn,Store/Commercial,11231,175 DIKEMAN STREET,DIKEMAN STREET,CONOVER STREET,FERRIS STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,06/23/2016 06:40:46 PM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,06/23/2016 12:07:33 PM,06 BROOKLYN,BROOKLYN,979892,186383,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.67825396779016,-74.0157117930007,"(40.67825396779016, -74.0157117930007)"
33669342,06/23/2016 10:38:46 AM,06/23/2016 12:07:34 PM,NYPD,New York City Police Department,Noise - Commercial,Car/Truck Horn,Store/Commercial,11231,175 DIKEMAN STREET,DIKEMAN STREET,CONOVER STREET,FERRIS STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,06/23/2016 06:38:46 PM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,06/23/2016 12:07:34 PM,06 BROOKLYN,BROOKLYN,979892,186383,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.67825396779016,-74.0157117930007,"(40.67825396779016, -74.0157117930007)"
33670617,06/23/2016 04:59:00 AM,06/24/2016 07:00:00 AM,DEP,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),,11231,344 DEGRAW STREET,DEGRAW STREET,,,,,ADDRESS,BROOKLYN,,N/A,Closed,,"The Department of Environmental Protection did not observe a violation of the New York City Air/Noise Code at the time of inspection and could not issue a notice of violation. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",06/24/2016 07:00:00 AM,06 BROOKLYN,BROOKLYN,985971,188179,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.68318448547265,-73.99379486119578,"(40.68318448547265, -73.99379486119578)"
33671392,06/23/2016 08:38:00 PM,06/27/2016 12:02:00 PM,DEP,Department of Environmental Protection,Noise,"Noise, Barking Dog (NR5)",,11231,366 PRESIDENT STREET,PRESIDENT STREET,HOYT ST,BOND ST,,,ADDRESS,BROOKLYN,,N/A,Closed,,The Department of Environmental Protection determined that an inspection is not warranted to investigate this complaint at this time and sent a letter to the complainant and/or respondent.,06/27/2016 12:02:00 PM,06 BROOKLYN,BROOKLYN,986616,186975,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.67987963026161,-73.99146970897269,"(40.67987963026161, -73.99146970897269)"
33672693,06/24/2016 01:03:45 AM,06/24/2016 08:23:41 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11231,31 CENTRE MALL,CENTRE MALL,COLUMBIA STREET,HICKS STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,06/24/2016 09:03:45 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,06/24/2016 08:23:42 AM,06 BROOKLYN,BROOKLYN,982352,185503,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.67583943578303,-74.00684256616371,"(40.67583943578303, -74.00684256616371)"
33673413,06/23/2016 10:17:56 PM,06/23/2016 11:10:15 PM,NYPD,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,11231,177 COLUMBIA STREET,COLUMBIA STREET,SEDGWICK STREET,DE GRAW STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,06/24/2016 06:17:56 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,06/23/2016 11:10:15 PM,06 BROOKLYN,BROOKLYN,983637,189212,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.686019980669826,-74.00221029159218,"(40.686019980669826, -74.00221029159218)"
